scenario,band,day,hour,threshold_m,street_share,node_share,open_locations,open_locations_paris
strict,high,Tue,20,200,0.12680660102636873,0.1533366108624214,287,250
strict,high,Tue,20,300,0.26784441404531684,0.3038140088493285,287,250
strict,high,Tue,20,400,0.42428388211205265,0.46711258312417525,287,250
strict,high,Tue,21,100,0.03291691122008337,0.04742929593500142,280,244
strict,high,Tue,21,200,0.12387351750529618,0.15052914844619247,280,244
strict,high,Tue,21,300,0.26131124570101977,0.2974875152016974,280,244
strict,high,Tue,21,400,0.41658688113521114,0.45975108029083755,280,244
strict,high,Tue,22,100,0.03207101353717573,0.046420161978937564,270,235
strict,high,Tue,22,200,0.12061326873481808,0.14662198877015034,270,235
strict,high,Tue,22,300,0.25409424443239403,0.2891945041012239,270,235
strict,high,Tue,22,400,0.40676832598729085,0.44943980127823635,270,235
strict,high,Tue,23,100,0.031846327588735054,0.04616140968251093,266,232
strict,high,Tue,23,200,0.11931801505535933,0.14526353921391053,266,232
strict,high,Tue,23,300,0.25095576466423364,0.2862835407664243,266,232
strict,high,Tue,23,400,0.40205414978370607,0.4451186379279116,266,232
strict,high,Wed,0,100,0.03166406182305836,0.045941470230548294,264,230
strict,high,Wed,0,200,0.11848532391275347,0.14437084379123866,264,230
strict,high,Wed,0,300,0.2490179375686572,0.2843170233135819,264,230
strict,high,Wed,0,400,0.39842714356555,0.4409139131109789,264,230
strict,high,Wed,1,100,0.030492627149347775,0.042810567443786064,260,226
strict,high,Wed,1,200,0.11627024440146635,0.14092943824876447,260,226
strict,high,Wed,1,300,0.24736011725246504,0.28277744714984343,260,226
strict,high,Wed,1,400,0.39707542174239624,0.439904779154915,260,226
strict,high,Wed,2,100,0.030492627149347775,0.042810567443786064,260,226
strict,high,Wed,2,200,0.11627024440146635,0.14092943824876447,260,226
strict,high,Wed,2,300,0.24736011725246504,0.28277744714984343,260,226
strict,high,Wed,2,400,0.39707542174239624,0.439904779154915,260,226
strict,high,Wed,3,100,0.030492627149347775,0.042810567443786064,260,226
strict,high,Wed,3,200,0.11627024440146635,0.14092943824876447,260,226
strict,high,Wed,3,300,0.24736011725246504,0.28277744714984343,260,226
strict,high,Wed,3,400,0.39707542174239624,0.439904779154915,260,226
strict,high,Wed,4,100,0.03166406182305836,0.045941470230548294,264,230
strict,high,Wed,4,200,0.11848532391275347,0.14437084379123866,264,230
strict,high,Wed,4,300,0.2490179375686572,0.2843170233135819,264,230
strict,high,Wed,4,400,0.39842714356555,0.4409139131109789,264,230
strict,high,Wed,5,100,0.03166406182305836,0.045941470230548294,264,230
strict,high,Wed,5,200,0.11848532391275347,0.14437084379123866,264,230
strict,high,Wed,5,300,0.2490179375686572,0.2843170233135819,264,230
strict,high,Wed,5,400,0.39842714356555,0.4409139131109789,264,230
strict,high,Wed,6,100,0.03195665779273666,0.04621316014179626,269,234
strict,high,Wed,6,200,0.11964243750144349,0.1456257924289078,269,234
strict,high,Wed,6,300,0.2515372735064006,0.28682692058892023,269,234
strict,high,Wed,6,400,0.4020406437011943,0.4439542525939918,269,234
strict,high,Wed,7,100,0.03453629708654064,0.05034025926980102,304,259
strict,high,Wed,7,200,0.12925089446949092,0.1581752788055994,304,259
strict,high,Wed,7,300,0.271113604043235,0.31047688048231425,304,259
strict,high,Wed,7,400,0.42571335719878495,0.47129143271146534,304,259
strict,high,Wed,8,100,0.2619311882764781,0.3385515046446037,3117,2787
strict,high,Wed,8,200,0.6375842281059707,0.7153207234714208,3117,2787
strict,high,Wed,8,300,0.8247456912846063,0.8830439620151629,3117,2787
strict,high,Wed,8,400,0.8956777803347933,0.9415607938520454,3117,2787
strict,high,Wed,9,100,0.2659942907743453,0.3435842368101017,3183,2844
strict,high,Wed,9,200,0.6422485040781455,0.7195254482883535,3183,2844
strict,high,Wed,9,300,0.8263769242072467,0.884609413408544,3183,2844
strict,high,Wed,9,400,0.895977522129976,0.9417548580743654,3183,2844
strict,high,Wed,10,100,0.26631422642913277,0.3438947395658136,3190,2851
strict,high,Wed,10,200,0.6423570889693498,0.7196160115921029,3190,2851
strict,high,Wed,10,300,0.8263854510174736,0.884609413408544,3190,2851
strict,high,Wed,10,400,0.895977522129976,0.9417548580743654,3190,2851
strict,high,Wed,11,100,0.26631422642913277,0.3438947395658136,3189,2851
strict,high,Wed,11,200,0.6423570889693498,0.7196160115921029,3189,2851
strict,high,Wed,11,300,0.8263854510174736,0.884609413408544,3189,2851
strict,high,Wed,11,400,0.895977522129976,0.9417548580743654,3189,2851
strict,high,Wed,12,100,0.26518937431903755,0.3425621652392165,3160,2826
strict,high,Wed,12,200,0.6417612108209529,0.7191631950733562,3160,2826
strict,high,Wed,12,300,0.8260697825565125,0.8844412244158667,3160,2826
strict,high,Wed,12,400,0.8958246214346489,0.9417031076150801,3160,2826
strict,high,Wed,13,100,0.2653422150408913,0.34270447900225115,3175,2837
strict,high,Wed,13,200,0.6413718550974409,0.7187880042435376,3175,2837
strict,high,Wed,13,300,0.825927976181025,0.8841565968897974,3175,2837
strict,high,Wed,13,400,0.8958771852772873,0.9416642947706161,3175,2837
strict,high,Wed,14,100,0.2664327595758608,0.3439594276399203,3191,2852
strict,high,Wed,14,200,0.6426678724121921,0.7199653271922788,3191,2852
strict,high,Wed,14,300,0.8264657690985314,0.884609413408544,3191,2852
strict,high,Wed,14,400,0.8959950117109272,0.9417677956891868,3191,2852
strict,high,Wed,15,100,0.2664874856391567,0.34407586617331226,3190,2852
strict,high,Wed,15,200,0.6425461383088872,0.7198488886588869,3190,2852
strict,high,Wed,15,300,0.8262157713355864,0.8845188501047947,3190,2852
strict,high,Wed,15,400,0.8958659368551676,0.9416772323854374,3190,2852
strict,high,Wed,16,100,0.2660084240310729,0.34344192304706705,3174,2837
strict,high,Wed,16,200,0.6418483001784883,0.719072631769607,3174,2837
strict,high,Wed,16,300,0.8259577474314709,0.8843765363417601,3174,2837
strict,high,Wed,16,400,0.8957463702341167,0.9416384195409734,3174,2837
strict,high,Wed,17,100,0.26394383453710174,0.3409190881569074,3137,2806
