scenario,day,hour,arr,pop_share,arr_pop
strict,Sun,12,75106,0.402777014669643,32264.999999999996
strict,Sun,12,75107,0.16740452360474153,45873.0
strict,Sun,12,75108,0.4179163159252162,37661.0
strict,Sun,12,75109,0.4132864989761918,52491.0
strict,Sun,12,75110,0.30729244061331246,81849.5
strict,Sun,12,75111,0.24086540308305648,130565.99999999999
strict,Sun,12,75112,0.18918204175009798,138440.44177335376
strict,Sun,12,75113,0.206800833448762,167939.9038655723
strict,Sun,12,75114,0.23897314505541123,118918.16005921719
strict,Sun,12,75115,0.20502395952145233,213509.978186194
strict,Sun,12,75116,0.19015007534333733,158721.9553879362
strict,Sun,12,75117,0.22548720234726982,155700.4569304713
strict,Sun,12,75118,0.270620422808305,158588.97282913688
strict,Sun,12,75119,0.24307195312757737,175756.86880710768
strict,Sun,12,75120,0.1757163896292195,181633.45733693315
strict_unconditional,Tue,3,75101,0.3502009082052211,15617.5
strict_unconditional,Tue,3,75102,0.17192033437384963,19284.5
strict_unconditional,Tue,3,75103,0.08712492796801294,32386.0
strict_unconditional,Tue,3,75104,0.20616580214319835,22799.5
strict_unconditional,Tue,3,75105,0.06311087547396017,41124.5
strict_unconditional,Tue,3,75106,0.15218723037760143,32264.999999999996
strict_unconditional,Tue,3,75107,0.13552160759896414,45873.0
strict_unconditional,Tue,3,75108,0.22923054430967715,37661.0
strict_unconditional,Tue,3,75109,0.25086024854544237,52491.0
strict_unconditional,Tue,3,75110,0.18150752530165956,81849.5
strict_unconditional,Tue,3,75111,0.06806638102162753,130565.99999999999
strict_unconditional,Tue,3,75112,0.08988468246225559,138440.44177335376
strict_unconditional,Tue,3,75113,0.12819919564621024,167939.9038655723
strict_unconditional,Tue,3,75114,0.07868252056586468,118918.16005921719
strict_unconditional,Tue,3,75115,0.07869511940087916,213509.978186194
strict_unconditional,Tue,3,75116,0.10097836485881855,158721.9553879362
strict_unconditional,Tue,3,75117,0.08431333772193422,155700.4569304713
strict_unconditional,Tue,3,75118,0.10461532852128928,158588.97282913688
strict_unconditional,Tue,3,75119,0.06393941417679574,175756.86880710768
strict_unconditional,Tue,3,75120,0.06909477947955182,181633.45733693315
strict_unconditional,Tue,12,75101,0.9221639809951844,15617.5
strict_unconditional,Tue,12,75102,0.9492275458949793,19284.5
strict_unconditional,Tue,12,75103,0.9551030483482442,32386.0
strict_unconditional,Tue,12,75104,0.8624271096326919,22799.5
strict_unconditional,Tue,12,75105,0.8225133026289269,41124.5
strict_unconditional,Tue,12,75106,0.8922487547237093,32264.999999999996
strict_unconditional,Tue,12,75107,0.7043206980438349,45873.0
strict_unconditional,Tue,12,75108,0.9096589333590489,37661.0
strict_unconditional,Tue,12,75109,0.9070063128604242,52491.0
strict_unconditional,Tue,12,75110,0.8478537312268457,81849.5
strict_unconditional,Tue,12,75111,0.8792028337681358,130565.99999999999
strict_unconditional,Tue,12,75112,0.7107552571917934,138440.44177335376
strict_unconditional,Tue,12,75113,0.741286540527706,167939.9038655723
strict_unconditional,Tue,12,75114,0.7322876337526486,118918.16005921719
strict_unconditional,Tue,12,75115,0.752195756251123,213509.978186194
strict_unconditional,Tue,12,75116,0.5952892291644788,158721.9553879362
strict_unconditional,Tue,12,75117,0.711459767841922,155700.4569304713
strict_unconditional,Tue,12,75118,0.7989027874325806,158588.97282913688
strict_unconditional,Tue,12,75119,0.7485378021423604,175756.86880710768
strict_unconditional,Tue,12,75120,0.7067414992524346,181633.45733693315
strict_unconditional,Sun,3,75101,0.34450623031201666,15617.5
strict_unconditional,Sun,3,75102,0.17192033437384963,19284.5
strict_unconditional,Sun,3,75103,0.08712492796801294,32386.0
strict_unconditional,Sun,3,75104,0.17384333947007277,22799.5
strict_unconditional,Sun,3,75105,0.06311087547396017,41124.5
strict_unconditional,Sun,3,75106,0.15218723037760143,32264.999999999996
strict_unconditional,Sun,3,75107,0.13552160759896414,45873.0
strict_unconditional,Sun,3,75108,0.22060774591369067,37661.0
strict_unconditional,Sun,3,75109,0.2132983311813208,52491.0
strict_unconditional,Sun,3,75110,0.18150752530165956,81849.5
