scenario,band,day,hour,threshold_m,pop_share,pop_share_node_alloc,residents_covered
strict_unconditional,central,Mon,14,100,0.31358919807491487,0.3760312712124496,621262
strict_unconditional,central,Mon,14,200,0.7609533830749745,0.790129651686131,1507550
strict_unconditional,central,Mon,14,300,0.9465161817285412,0.9510908262384006,1875174
strict_unconditional,central,Mon,14,400,0.9875437246499061,0.9878028175391536,1956455
strict_unconditional,central,Mon,15,100,0.3134855006585957,0.375957286076093,621056
strict_unconditional,central,Mon,15,200,0.7606173098804967,0.789944686119586,1506884
strict_unconditional,central,Mon,15,300,0.94634985247717,0.9510661645262818,1874845
strict_unconditional,central,Mon,15,400,0.9874569965480561,0.987679508978559,1956283
strict_unconditional,central,Mon,16,100,0.31272865171279735,0.3750542389953704,619557
strict_unconditional,central,Mon,16,200,0.7596102494584073,0.7889071240240515,1504889
strict_unconditional,central,Mon,16,300,0.9461584910055639,0.9509392704750729,1874466
strict_unconditional,central,Mon,16,400,0.9873862715319213,0.9876637284187212,1956143
strict_unconditional,central,Mon,17,100,0.3104249823360789,0.3726476423649232,614993
strict_unconditional,central,Mon,17,200,0.7570291840170368,0.7866583110785895,1499775
strict_unconditional,central,Mon,17,300,0.9455784389609697,0.9500995055089443,1873316
strict_unconditional,central,Mon,17,400,0.9873850624430217,0.9876486453707588,1956141
strict_unconditional,central,Mon,18,100,0.033504602649211034,0.0406774971010195,66377
strict_unconditional,central,Mon,18,200,0.13309064064362694,0.1410876293370891,263670
strict_unconditional,central,Mon,18,300,0.288325998811003,0.2959455129878174,571212
strict_unconditional,central,Mon,18,400,0.4673454568985016,0.4773754992220058,925873
strict_unconditional,central,Mon,19,100,0.029933395404285627,0.035994958346573576,59302
strict_unconditional,central,Mon,19,200,0.11872371625233473,0.12535863844239195,235207
strict_unconditional,central,Mon,19,300,0.26001785918493237,0.2664801688421429,515130
strict_unconditional,central,Mon,19,400,0.42923380091316143,0.4389377457082981,850369
strict_unconditional,central,Mon,20,100,0.028429573021824042,0.034402750064605275,56323
strict_unconditional,central,Mon,20,200,0.11390829256596831,0.12114164148028361,225667
strict_unconditional,central,Mon,20,300,0.2519615109292767,0.2583206483287677,499169
strict_unconditional,central,Mon,20,400,0.4162622530747961,0.42502059565298045,824671
strict_unconditional,central,Mon,21,100,0.02743815061107981,0.03303267619891533,54359
