text,c_disp_j,n,basis,hours_at_h30
Ma au S 10h/12h 13h15/18h,"{mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Tue 10-12h 13-18h | Wed 10-12h 13-18h | Thu 10-12h 13-18h | Fri 10-12h 13-18h | Sat 10-12h 13-18h
Ma au J 9h/18h,"{mardi,mercredi,jeudi}",1,parsed_text,Tue 9-18h | Wed 9-18h | Thu 9-18h
Ma au D 9h/19h30,"{mardi,mercredi,jeudi,vendredi,samedi,dimanche,""jours fériés""}",1,parsed_text,Tue 9-19h | Wed 9-19h | Thu 9-19h | Fri 9-19h | Sat 9-19h | Sun 9-19h
L au V 8h/19h,"{lundi,mardi,mercredi,jeudi,vendredi,événements}",1,parsed_text,Mon 8-19h | Tue 8-19h | Wed 8-19h | Thu 8-19h | Fri 8-19h
Ma au D 12h/00h + selon évènements,"{mardi,mercredi,jeudi,vendredi,samedi,dimanche,""jours fériés"",événements}",1,parsed_text,Tue 12-24h | Wed 12-24h | Thu 12-24h | Fri 12-24h | Sat 12-24h | Sun 12-24h
Ma Me V 9h30/12h30 13h30/17h30,"{mardi,mercredi,vendredi}",1,parsed_text,Tue 9-12h 13-17h | Wed 9-12h 13-17h | Fri 9-12h 13-17h
L au V 8h/19h S 8h/18h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-19h | Tue 8-19h | Wed 8-19h | Thu 8-19h | Fri 8-19h | Sat 8-18h
L au V 8h/19h en dehors sur appel du gardien,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-19h | Tue 8-19h | Wed 8-19h | Thu 8-19h | Fri 8-19h
Ma Me J V S D 8h-19h,"{mardi,mercredi,jeudi,vendredi,samedi,dimanche}",1,parsed_text,Tue 8-19h | Wed 8-19h | Thu 8-19h | Fri 8-19h | Sat 8-19h | Sun 8-19h
Ma Me J V 9h/17h,"{mardi,mercredi,jeudi,vendredi}",1,parsed_text,Tue 9-17h | Wed 9-17h | Thu 9-17h | Fri 9-17h
L au V 8h/21h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-21h | Tue 8-21h | Wed 8-21h | Thu 8-21h | Fri 8-21h
L au V 8h/22h  S D 8h/20h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-22h | Tue 8-22h | Wed 8-22h | Thu 8-22h | Fri 8-22h | Sat 8-20h | Sun 8-20h
L au V 8h/22h30 + S D selon évènements,"{7j/7,événements}",1,parsed_text,Mon 8-22h | Tue 8-22h | Wed 8-22h | Thu 8-22h | Fri 8-22h
L au V 8h/23h S 8h/18h D 10h/18h,{7j/7},1,parsed_text,Mon 8-23h | Tue 8-23h | Wed 8-23h | Thu 8-23h | Fri 8-23h | Sat 8-18h | Sun 10-18h
Ma J V 9h/17h,"{mardi,jeudi,vendredi}",1,parsed_text,Tue 9-17h | Thu 9-17h | Fri 9-17h
L au V 8h/23h S 8h/19h,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 8-23h | Tue 8-23h | Wed 8-23h | Thu 8-23h | Fri 8-23h | Sat 8-19h
L au V 8h00/18h00,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-18h | Tue 8-18h | Wed 8-18h | Thu 8-18h | Fri 8-18h
L au V 8h00/18h30 sauf période de vacances scolaires  Interphone à l'entrée,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-18h | Tue 8-18h | Wed 8-18h | Thu 8-18h | Fri 8-18h
Ma / V 12h/19h Me / S 10h/19h,"{mardi,mercredi,vendredi,samedi}",1,parsed_text,Tue 12-19h | Wed 10-19h | Fri 12-19h | Sat 10-19h
L au V 8h15/18h30,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-18h | Tue 8-18h | Wed 8-18h | Thu 8-18h | Fri 8-18h
L au V 8h30 - 17h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-17h | Tue 8-17h | Wed 8-17h | Thu 8-17h | Fri 8-17h
L au V 8h30-12h30 / 13h30-17h30,{événements},1,parsed_text,Mon 8-12h 13-17h | Tue 8-12h 13-17h | Wed 8-12h 13-17h | Thu 8-12h 13-17h | Fri 8-12h 13-17h
L au V 8h30-17h30,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-17h | Tue 8-17h | Wed 8-17h | Thu 8-17h | Fri 8-17h
L au V 8h30-18h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-18h | Tue 8-18h | Wed 8-18h | Thu 8-18h | Fri 8-18h
M au V 13h3/18h30 S D 13h30/19h,"{mardi,mercredi,jeudi,vendredi,samedi,dimanche}",1,parsed_text,Tue 13-18h | Wed 13-18h | Thu 13-18h | Fri 13-18h | Sat 13-19h | Sun 13-19h
L au V 8h30-22h D 8h30-12h30,"{lundi,mardi,mercredi,jeudi,vendredi,dimanche}",1,parsed_text,Mon 8-22h | Tue 8-22h | Wed 8-22h | Thu 8-22h | Fri 8-22h | Sun 8-12h
L au V 8h30/12h 14h/17h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-12h 14-17h | Tue 8-12h 14-17h | Wed 8-12h 14-17h | Thu 8-12h 14-17h | Fri 8-12h 14-17h
L au V 8h/18h45,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-19h | Tue 8-19h | Wed 8-19h | Thu 8-19h | Fri 8-19h
L au V 8h/18h S 8h/12h,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 8-18h | Tue 8-18h | Wed 8-18h | Thu 8-18h | Fri 8-18h | Sat 8-12h
L au V 9h30/17h30,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 9-17h | Tue 9-17h | Wed 9-17h | Thu 9-17h | Fri 9-17h
bâtiment cour - ouvert tous les jours de 9h à 22h y compris les jours fériés,{7j/7},1,parsed_text,Mon 9-22h | Tue 9-22h | Wed 9-22h | Thu 9-22h | Fri 9-22h | Sat 9-22h | Sun 9-22h
L au V 8h-12h30 / 13h30-19h30 S 9h/12h,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 8-12h 13-19h | Tue 8-12h 13-19h | Wed 8-12h 13-19h | Thu 8-12h 13-19h | Fri 8-12h 13-19h | Sat 9-12h
L au V 8h-16h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-16h | Tue 8-16h | Wed 8-16h | Thu 8-16h | Fri 8-16h
L au V 8h-17h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-17h | Tue 8-17h | Wed 8-17h | Thu 8-17h | Fri 8-17h
ouvert de 7h30 à 19h,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 7-19h | Tue 7-19h | Wed 7-19h | Thu 7-19h | Fri 7-19h | Sat 7-19h
"ouvert de 5h à minuit, accès porte sonnette Radio Notre Dame","{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",1,parsed_text,Mon 5-24h | Tue 5-24h | Wed 5-24h | Thu 5-24h | Fri 5-24h | Sat 5-24h | Sun 5-24h
mo-sa 10:00-20:00 su 11:00-20:00,{7j/7},1,parsed_text,Mon 10-20h | Tue 10-20h | Wed 10-20h | Thu 10-20h | Fri 10-20h | Sat 10-20h | Sun 11-20h
L au V 8h-18-30,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-18h | Tue 8-18h | Wed 8-18h | Thu 8-18h | Fri 8-18h
mo-sa 08:30-20:00 su 10:00-20:00,{7j/7},1,parsed_text,Mon 8-20h | Tue 8-20h | Wed 8-20h | Thu 8-20h | Fri 8-20h | Sat 8-20h | Sun 10-20h
mo-sa 08:30-20:00 su 09:00-12:45,{7j/7},1,parsed_text,Mon 8-20h | Tue 8-20h | Wed 8-20h | Thu 8-20h | Fri 8-20h | Sat 8-20h | Sun 9-13h
"heures de nuit, 1h-6h ,disponible en passant par l'interphone de l'hôtel , la reception presente 24h/24 deverouille la porte",{7j/7},1,parsed_text,Mon 0-24h | Tue 0-24h | Wed 0-24h | Thu 0-24h | Fri 0-24h | Sat 0-24h | Sun 0-24h
L au V 8h-18h + évènements,"{lundi,mardi,mercredi,jeudi,vendredi,événements}",1,parsed_text,Mon 8-18h | Tue 8-18h | Wed 8-18h | Thu 8-18h | Fri 8-18h
de 8h30 à 20h,{7j/7},1,parsed_text,Mon 8-20h | Tue 8-20h | Wed 8-20h | Thu 8-20h | Fri 8-20h | Sat 8-20h | Sun 8-20h
L au V 8h-19h S 9h-18h,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 8-19h | Tue 8-19h | Wed 8-19h | Thu 8-19h | Fri 8-19h | Sat 9-18h
Ma au V 18h/23h S 14h/23h,"{mardi,mercredi,jeudi,vendredi,samedi,dimanche,""jours fériés""}",1,parsed_text,Tue 18-23h | Wed 18-23h | Thu 18-23h | Fri 18-23h | Sat 14-23h
accès de10h30 à 11h45 et de 18h30 à 19h45. Appareil à droite de l'entrée de l'église,{dimanche},1,parsed_text,Sun 10-12h 18-20h
L au V 8h-23h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-23h | Tue 8-23h | Wed 8-23h | Thu 8-23h | Fri 8-23h
L au V 8h/ 19h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-19h | Tue 8-19h | Wed 8-19h | Thu 8-19h | Fri 8-19h
L au V 8h/ 21h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-21h | Tue 8-21h | Wed 8-21h | Thu 8-21h | Fri 8-21h
Sonner à la porte d'entrée pendant les heures d'ouvertures (8h-19h),"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-19h | Tue 8-19h | Wed 8-19h | Thu 8-19h | Fri 8-19h
Salle public ouvert à partir de 11h,"{7j/7,""jours fériés""}",1,assumed_business,Mon 0-8h 9-18h 20-24h | Tue 0-8h 9-18h 20-24h | Wed 0-8h 9-18h 20-24h | Thu 0-8h 9-18h 20-24h | Fri 0-8h 9-18h 20-24h | Sat 0-8h 9-18h 20-24h | Sun 0-8h 9-18h 20-24h
L au V 8h/12h 14h/18h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-12h 14-18h | Tue 8-12h 14-18h | Wed 8-12h 14-18h | Thu 8-12h 14-18h | Fri 8-12h 14-18h
"Salle d'accueil du public : libre accès le lundi, mardi, Mercredi, Jeudi de 09h00 à 13h15	puis en vidéo-portier de 13h15-17h00, le Vendredi de 09h00 à 12h00","{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 9-17h | Tue 9-17h | Wed 9-17h | Thu 9-17h | Fri 9-12h
Ouvert toute l'année de 9h à 23h45.,{7j/7},1,parsed_text,Mon 9-24h | Tue 9-24h | Wed 9-24h | Thu 9-24h | Fri 9-24h | Sat 9-24h | Sun 9-24h
Ouvert de 9H à 12h30 et de 13h30 à 18h (vendredi 17h),"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 9-12h 13-18h | Tue 9-12h 13-18h | Wed 9-12h 13-18h | Thu 9-12h 13-18h | Fri 9-12h 13-17h
Me et S 6h/16h,"{mardi,samedi}",1,parsed_text,Wed 6-16h | Sat 6-16h
Ma au V 9h/18h S 9h/17h,"{mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Tue 9-18h | Wed 9-18h | Thu 9-18h | Fri 9-18h | Sat 9-17h
L au V 8h30/13h30 14h30/17h30,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-13h 14-17h | Tue 8-13h 14-17h | Wed 8-13h 14-17h | Thu 8-13h 14-17h | Fri 8-13h 14-17h
L au V 9h30/18h30,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 9-18h | Tue 9-18h | Wed 9-18h | Thu 9-18h | Fri 9-18h
L au V 8h30/16h30,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-16h | Tue 8-16h | Wed 8-16h | Thu 8-16h | Fri 8-16h
L au V de 8h30/19H,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-19h | Tue 8-19h | Wed 8-19h | Thu 8-19h | Fri 8-19h
L au V 9h/12h 14h/17h30,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 9-12h 14-17h | Tue 9-12h 14-17h | Wed 9-12h 14-17h | Thu 9-12h 14-17h | Fri 9-12h 14-17h
