text,c_disp_j,n,basis,hours_at_h30
7j/7 9h/18h30,{7j/7},1,parsed_text,Mon 9-18h | Tue 9-18h | Wed 9-18h | Thu 9-18h | Fri 9-18h | Sat 9-18h | Sun 9-18h
7j/7 9h/18h (7j/7 24h/24 uniquement pour les résidents),{7j/7},1,parsed_text,Mon 9-18h | Tue 9-18h | Wed 9-18h | Thu 9-18h | Fri 9-18h | Sat 9-18h | Sun 9-18h
7j/7 8h/23h,"{7j/7,événements}",1,parsed_text,Mon 8-23h | Tue 8-23h | Wed 8-23h | Thu 8-23h | Fri 8-23h | Sat 8-23h | Sun 8-23h
7j/7 8h/22h30,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",1,parsed_text,Mon 8-22h | Tue 8-22h | Wed 8-22h | Thu 8-22h | Fri 8-22h | Sat 8-22h | Sun 8-22h
L au D 9h/17h,{7j/7},1,parsed_text,Mon 9-17h | Tue 9-17h | Wed 9-17h | Thu 9-17h | Fri 9-17h | Sat 9-17h | Sun 9-17h
L au J 8h/17h05 V 8h/15h30,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-17h | Tue 8-17h | Wed 8-17h | Thu 8-17h | Fri 8-15h
L au V 8h -18h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-18h | Tue 8-18h | Wed 8-18h | Thu 8-18h | Fri 8-18h
L au V 6h30/20h30,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 6-20h | Tue 6-20h | Wed 6-20h | Thu 6-20h | Fri 6-20h
L au V 7h/17h S 7h30/12h30,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 7-17h | Tue 7-17h | Wed 7-17h | Thu 7-17h | Fri 7-17h | Sat 7-12h
L au V 7h/12h 13h/16h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 7-12h 13-16h | Tue 7-12h 13-16h | Wed 7-12h 13-16h | Thu 7-12h 13-16h | Fri 7-12h 13-16h
L au V 7h-20h / S D 7h-19h,{7j/7},1,parsed_text,Mon 7-20h | Tue 7-20h | Wed 7-20h | Thu 7-20h | Fri 7-20h | Sat 7-19h | Sun 7-19h
L au V 7h-19h30,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 7-19h | Tue 7-19h | Wed 7-19h | Thu 7-19h | Fri 7-19h
L au V 7h-18h S 7h-12h,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 7-18h | Tue 7-18h | Wed 7-18h | Thu 7-18h | Fri 7-18h | Sat 7-12h
L au V 7H/17H30 S 8h/12h30,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 7-17h | Tue 7-17h | Wed 7-17h | Thu 7-17h | Fri 7-17h | Sat 8-12h
L au V 6h30/22h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 6-22h | Tue 6-22h | Wed 6-22h | Thu 6-22h | Fri 6-22h
L au V 6h30 / 17h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 6-17h | Tue 6-17h | Wed 6-17h | Thu 6-17h | Fri 6-17h
L au J 8h30-12h30/13h30-17h30 V 8h30-12h30/13h30-16h30 hors août et fin d'année,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-12h 13-17h | Tue 8-12h 13-17h | Wed 8-12h 13-17h | Thu 8-12h 13-17h | Fri 8-12h 13-16h
L au V 6h15/19h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 6-19h | Tue 6-19h | Wed 6-19h | Thu 6-19h | Fri 6-19h
L au V 6h-22h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 6-22h | Tue 6-22h | Wed 6-22h | Thu 6-22h | Fri 6-22h
L au V 24h/24,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 0-24h | Tue 0-24h | Wed 0-24h | Thu 0-24h | Fri 0-24h
L au V 10h/18h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 10-18h | Tue 10-18h | Wed 10-18h | Thu 10-18h | Fri 10-18h
L au V 10h/13h et 14h/16h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 10-13h 14-16h | Tue 10-13h 14-16h | Wed 10-13h 14-16h | Thu 10-13h 14-16h | Fri 10-13h 14-16h
L au V 10h/13h  14h/17h30 Ma 14h/17h30 -soirs de spectacle,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,événements}",1,parsed_text,Mon 10-13h 14-17h | Tue 14-17h | Wed 10-13h 14-17h | Thu 10-13h 14-17h | Fri 10-13h 14-17h
L au V 10h/12h 14h/17h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 10-12h 14-17h | Tue 10-12h 14-17h | Wed 10-12h 14-17h | Thu 10-12h 14-17h | Fri 10-12h 14-17h
L au V 7h/17h30 S 7h30/12h30,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 7-17h | Tue 7-17h | Wed 7-17h | Thu 7-17h | Fri 7-17h | Sat 7-12h
L au V 7h/17h30 S 8h/13h,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 7-17h | Tue 7-17h | Wed 7-17h | Thu 7-17h | Fri 7-17h | Sat 8-13h
L au V 7h/18h30 S 7h30/14h,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 7-18h | Tue 7-18h | Wed 7-18h | Thu 7-18h | Fri 7-18h | Sat 7-14h
L au V 7h/22h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 7-22h | Tue 7-22h | Wed 7-22h | Thu 7-22h | Fri 7-22h
L au V 8H-17H,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-17h | Tue 8-17h | Wed 8-17h | Thu 8-17h | Fri 8-17h
L au V 7h30/19h00,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 7-19h | Tue 7-19h | Wed 7-19h | Thu 7-19h | Fri 7-19h
L au V 7h30/19h S 8h/18h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 7-19h | Tue 7-19h | Wed 7-19h | Thu 7-19h | Fri 7-19h | Sat 8-18h
L au V 7h30/18h30 sauf périodes de fermeture de l'établissement.,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 7-18h | Tue 7-18h | Wed 7-18h | Thu 7-18h | Fri 7-18h
L au V 7h30/18h30 hors vacances scolaires,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 7-18h | Tue 7-18h | Wed 7-18h | Thu 7-18h | Fri 7-18h
24h/24 7j/7,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 0-24h | Tue 0-24h | Wed 0-24h | Thu 0-24h | Fri 0-24h | Sat 0-24h | Sun 0-24h
L au V 7h30/18h30,"{lundi,mardi,mercredi,jeudi,vendredi,événements}",1,parsed_text,Mon 7-18h | Tue 7-18h | Wed 7-18h | Thu 7-18h | Fri 7-18h
L au V 7h30/15h S 8h/12h,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 7-15h | Tue 7-15h | Wed 7-15h | Thu 7-15h | Fri 7-15h | Sat 8-12h
L au V 7h30/12h 13h30/18h30,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 7-12h 13-18h | Tue 7-12h 13-18h | Wed 7-12h 13-18h | Thu 7-12h 13-18h | Fri 7-12h 13-18h
L au V 7h30-21h15,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 7-21h | Tue 7-21h | Wed 7-21h | Thu 7-21h | Fri 7-21h
L au V 7h30-19h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 7-19h | Tue 7-19h | Wed 7-19h | Thu 7-19h | Fri 7-19h
L au V 7h30-18h30,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 7-18h | Tue 7-18h | Wed 7-18h | Thu 7-18h | Fri 7-18h
L au V 7h30-11h30 / 13h20-18h30 sauf périodes vacances scolaires  Interphone à l'entrée,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 7-11h 13-18h | Tue 7-11h 13-18h | Wed 7-11h 13-18h | Thu 7-11h 13-18h | Fri 7-11h 13-18h
L au V 7h30 / 18h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 7-18h | Tue 7-18h | Wed 7-18h | Thu 7-18h | Fri 7-18h
L au V 7h/22h30 S D selon événements,"{7j/7,événements}",1,parsed_text,Mon 7-22h | Tue 7-22h | Wed 7-22h | Thu 7-22h | Fri 7-22h
L au V 10h-16h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 10-16h | Tue 10-16h | Wed 10-16h | Thu 10-16h | Fri 10-16h
L au V  9h/12h30 13h30/17h00,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 9-12h 13-17h | Tue 9-12h 13-17h | Wed 9-12h 13-17h | Thu 9-12h 13-17h | Fri 9-12h 13-17h
L au V  9h-12h30/13h30-17h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 9-12h 13-17h | Tue 9-12h 13-17h | Wed 9-12h 13-17h | Thu 9-12h 13-17h | Fri 9-12h 13-17h
L au S 7h/23h D 7h/20h,{7j/7},1,parsed_text,Mon 7-23h | Tue 7-23h | Wed 7-23h | Thu 7-23h | Fri 7-23h | Sat 7-23h | Sun 7-20h
L au S 7H30/21H30,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 7-21h | Tue 7-21h | Wed 7-21h | Thu 7-21h | Fri 7-21h | Sat 7-21h
L au S 14h-19h et jours fériés,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,""jours fériés""}",1,parsed_text,Mon 14-19h | Tue 14-19h | Wed 14-19h | Thu 14-19h | Fri 14-19h | Sat 14-19h
L au S 10h/19h,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 10-19h | Tue 10-19h | Wed 10-19h | Thu 10-19h | Fri 10-19h | Sat 10-19h
L au Mer 8h30-17h00 / J 8h30-19h30/ V 8h30-17h00,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-17h | Tue 8-17h | Wed 8-17h | Thu 8-19h | Fri 8-17h
L au J 9h/19h30 V 9h/16h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 9-19h | Tue 9-19h | Wed 9-19h | Thu 9-19h | Fri 9-16h
L au J 9h/18h V 9h/17h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 9-18h | Tue 9-18h | Wed 9-18h | Thu 9-18h | Fri 9-17h
L au J 9h/17h30 V 9h/17h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 9-17h | Tue 9-17h | Wed 9-17h | Thu 9-17h | Fri 9-17h
L au J 9h/17h30  V 9h/17h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 9-17h | Tue 9-17h | Wed 9-17h | Thu 9-17h | Fri 9-17h
L au J 9h/16h,"{lundi,mardi,mercredi,jeudi}",1,parsed_text,Mon 9-16h | Tue 9-16h | Wed 9-16h | Thu 9-16h
L au J 9h/13h 14h/18h V 9h/13h 14h/17h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 9-13h 14-18h | Tue 9-13h 14-18h | Wed 9-13h 14-18h | Thu 9-13h 14-18h | Fri 9-13h 14-17h
L au J 9h/12h30 13h30/17h30 V 9h/12h30 13h30/16h40,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 9-12h 13-17h | Tue 9-12h 13-17h | Wed 9-12h 13-17h | Thu 9-12h 13-17h | Fri 9-12h 13-17h
L au J 9h à 13 et 14h à 18h et V de 9h à 13h et de 14h a 17h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 9-13h 14-18h | Tue 9-13h 14-18h | Wed 9-13h 14-18h | Thu 9-13h 14-18h | Fri 9-13h 14-17h
L au J 8h30/12h30 V 8h30/16h30,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-12h | Tue 8-12h | Wed 8-12h | Thu 8-12h | Fri 8-16h
L au J 8h30/12h30 13h30/17h30 et V 16h30,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-12h 13-17h | Tue 8-12h 13-17h | Wed 8-12h 13-17h | Thu 8-12h 13-17h | Fri 8-12h 13-16h
L au J 8h30/12h30 13h30/17h30 V 8h30/12h30 13h30/16h30,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-12h 13-17h | Tue 8-12h 13-17h | Wed 8-12h 13-17h | Thu 8-12h 13-17h | Fri 8-12h 13-16h
L au S 7H30/21H30 + selon évènements,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,événements}",1,parsed_text,Mon 7-21h | Tue 7-21h | Wed 7-21h | Thu 7-21h | Fri 7-21h | Sat 7-21h
L au S 7h30/21h,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 7-21h | Tue 7-21h | Wed 7-21h | Thu 7-21h | Fri 7-21h | Sat 7-21h
L au V  8h/17h30,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-17h | Tue 8-17h | Wed 8-17h | Thu 8-17h | Fri 8-17h
L au S 8H/19H30,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-19h | Tue 8-19h | Wed 8-19h | Thu 8-19h | Fri 8-19h | Sat 8-19h
L au V  8h-20h période scolaire,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-20h | Tue 8-20h | Wed 8-20h | Thu 8-20h | Fri 8-20h
L au S 9h/18h D 9h/17h fermé en 2023,{7j/7},1,parsed_text,Mon 9-18h | Tue 9-18h | Wed 9-18h | Thu 9-18h | Fri 9-18h | Sat 9-18h | Sun 9-17h
L au S 9h/18h D 9h/17h,{7j/7},1,parsed_text,Mon 9-18h | Tue 9-18h | Wed 9-18h | Thu 9-18h | Fri 9-18h | Sat 9-18h | Sun 9-17h
L au S 9h/18h,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 9-18h | Tue 9-18h | Wed 9-18h | Thu 9-18h | Fri 9-18h | Sat 9-18h
L au S 8h30/19h30,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 8-19h | Tue 8-19h | Wed 8-19h | Thu 8-19h | Fri 8-19h | Sat 8-19h
L au S 8h30/19h,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 8-19h | Tue 8-19h | Wed 8-19h | Thu 8-19h | Fri 8-19h | Sat 8-19h
L au S 8h30/18h,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 8-18h | Tue 8-18h | Wed 8-18h | Thu 8-18h | Fri 8-18h | Sat 8-18h
L au S 8h30-21h D 8h30-12h30,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",1,parsed_text,Mon 8-21h | Tue 8-21h | Wed 8-21h | Thu 8-21h | Fri 8-21h | Sat 8-21h | Sun 8-12h
L au S 8h30-19h00,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 8-19h | Tue 8-19h | Wed 8-19h | Thu 8-19h | Fri 8-19h | Sat 8-19h
L au S 8h30-18h,"{lundi,mardi,mercredi,jeudi,vendredi}",1,parsed_text,Mon 8-18h | Tue 8-18h | Wed 8-18h | Thu 8-18h | Fri 8-18h | Sat 8-18h
L au S 8h30 à 22h et dimanche 8h30 à 12h30,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",1,parsed_text,Mon 8-22h | Tue 8-22h | Wed 8-22h | Thu 8-22h | Fri 8-22h | Sat 8-22h | Sun 8-12h
L au S 8h30 à 19h,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 8-19h | Tue 8-19h | Wed 8-19h | Thu 8-19h | Fri 8-19h | Sat 8-19h
L au S 8h/23h  D 10h/17h,{7j/7},1,parsed_text,Mon 8-23h | Tue 8-23h | Wed 8-23h | Thu 8-23h | Fri 8-23h | Sat 8-23h | Sun 10-17h
L au S 8h/19h45,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 8-20h | Tue 8-20h | Wed 8-20h | Thu 8-20h | Fri 8-20h | Sat 8-20h
L au S 8h/12h 13h/20h,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",1,parsed_text,Mon 8-12h 13-20h | Tue 8-12h 13-20h | Wed 8-12h 13-20h | Thu 8-12h 13-20h | Fri 8-12h 13-20h | Sat 8-12h 13-20h
site ouvert le samedi matin jusqu'a 11h45,"{lundi,mardi,mercredi,vendredi,samedi}",1,assumed_business,Mon 9-18h | Tue 9-18h | Wed 9-18h | Fri 9-18h | Sat 9-18h
